"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Ini", "Vue", "SCSS", "JSON5", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\win.ts", "TypeScript", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 12, 19, 149
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\core-box.ts", "TypeScript", 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 14, 66, 301
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\division-box.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\clipboard.ts", "TypeScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 5, 26, 122
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\drop-manager.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\extension-loader.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\global-shortcon.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 11, 75
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\permission-center.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 25, 90
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\terminal-cmd.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"e:\Workspace\Applications\talex-touch\app\core\electron\modules\tray-holder.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 9, 42, 137
"e:\Workspace\Applications\talex-touch\app\core\electron\plugins\plugin-core.ts", "TypeScript", 0, 0, 0, 0, 0, 701, 0, 0, 0, 0, 0, 0, 27, 180, 908
"e:\Workspace\Applications\talex-touch\app\core\electron\plugins\plugin-resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 15, 32, 170
